id,name,category,x,y,z,cluster
SKU-FOO-001,TrailRunner Pro,Footwear,-0.63,-0.15,0.29,Footwear
SKU-FOO-002,CityLite Sneaker,Footwear,-0.55,-0.22,0.34,Footwear
SKU-FOO-003,RidgeHike Boot,Footwear,-0.68,-0.28,0.24,Footwear
SKU-FOO-004,StudioFlex Trainer,Footwear,-0.48,-0.12,0.37,Footwear
SKU-FOO-005,SprintKnit Racer,Footwear,-0.59,-0.18,0.42,Footwear
SKU-FOO-006,Coastline Sandal,Footwear,-0.52,-0.08,0.19,Footwear
SKU-APP-001,Drift Tee,Apparel,0.47,-0.06,-0.38,Apparel
SKU-APP-002,Meridian Hoodie,Apparel,0.58,-0.14,-0.44,Apparel
SKU-APP-003,Axis Jacket,Apparel,0.52,-0.18,-0.33,Apparel
SKU-APP-004,Slate Jogger,Apparel,0.44,-0.05,-0.48,Apparel
SKU-APP-005,Crest Parka,Apparel,0.61,-0.09,-0.41,Apparel
SKU-APP-006,CloudLayer Shirt,Apparel,0.49,-0.02,-0.36,Apparel
SKU-HOM-001,Ember Ceramic Mug,Home,0.12,0.58,0.48,Home
SKU-HOM-002,Harbor Linen Sheet,Home,0.18,0.66,0.54,Home
SKU-HOM-003,Terra Throw Blanket,Home,0.04,0.62,0.46,Home
SKU-HOM-004,Grove Cutting Board,Home,0.09,0.55,0.57,Home
SKU-HOM-005,Riverstone Candle,Home,0.22,0.71,0.49,Home
SKU-HOM-006,Moss Planter,Home,0.06,0.64,0.61,Home
SKU-ELE-001,Aurora Earbuds,Electronics,-0.22,0.14,-0.58,Electronics
SKU-ELE-002,Pulse Smartwatch,Electronics,-0.15,0.05,-0.66,Electronics
SKU-ELE-003,Orbit Speaker,Electronics,-0.27,0.18,-0.55,Electronics
SKU-ELE-004,Nova Tablet,Electronics,-0.12,0.09,-0.71,Electronics
SKU-ELE-005,Vector Camera,Electronics,-0.19,0.02,-0.63,Electronics
SKU-ELE-006,Glide Drone,Electronics,-0.25,0.12,-0.69,Electronics
